"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"Danza Kuduro - Cover","CLUB DE YOKUKIKU YOUGAKU MEDLEY","MUSIC LAB JPN",NA,"TCJPA2445163","23","279",1655575417,"10",655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"1"
"TEXAS HOLD 'EM","TEXAS HOLD 'EM","Beyoncï¿",2024-10-02,"USSM12401302","24","278.9",426700979,"34.043999999999997",152928632,"86",35724356,437.98,1470500,485200392,6518604175,1213175656,"159","309.49700000000001",257,194,40725482,"177",13860535,"36.281999999999996",NA,2100708,NA,"1"
"Future","Future","official sound studio",2024-10-01,"RUA1H2415548","25","277.5",NA,"1",2,NA,NA,NA,9453333,273236305,4306269694,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Beat Automotivo Tan Tan Tan Viral","Beat Automotivo Tan Tan Tan Viral","WZ Beat",NA,"BXWEH2200054","26","268.1",7382759,"3.504",661.084,"35",4233958,69.99,37621885,1636811753,22918660728,NA,"1",NA,439,1,6,"1",NA,NA,NA,633.525,NA,"0"
"STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI",2021-09-07,"USSM12103949","27","266.3",3107100349,"451.73200000000003",134793519,"78",1256973582,14661425,7485966,2246991336,23712377029,4327058646,"513","1,510,151",4.096,166,5783693,"128",196783487,"124.922",36341585,0,NA,"1"
"Baby Shark","ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý","Pinkfong",2015-01-12,"KRE671700001","28","265.7",720822868,"60.945",7530769,"71",16322756555,48757673,7743800,281762094,6577639193,2166611,"33","284",142,19,52.179,"17",86458847,"2,234,137",NA,2064420,NA,"0"
"we can't be friends (wait for your love)","eternal sunshine","Ariana Grande",2024-08-03,"USUM72317276","29","262.8",591068364,"26.202999999999999",197494995,"87",156882014,3080503,NA,NA,NA,578568464,"194","200.23",32,117,22062193,"126",10106573,"7.6890000000000001",1612479,1579980,NA,"0"
"Numb / Encore","Papercuts","JAY-Z",2024-12-04,"USWB12400678","30","256",1003215671,"128",485.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,179867721,"87.209000000000003",NA,4474248,NA,"1"
"Danza Kuduro - Cover","ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý","LOVE BGM JPN",NA,"TCJPA2406007","31","249.8",1645079292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"1"
"SHEESH","BABYMONS7ER","BABYMONSTER",2024-01-04,"KRA402400016","32","237.5",124893397,"3.4790000000000001",25936342,"82",359896095,4907193,212.5,48327004,390081328,38798822,"36","2.1880000000000002",32,3,347.997,"26",130.743,"592",265.67,191.867,NA,"0"
"Water","Water","Tyla",NA,"USSM12305126","33","234.6",670376179,"98.45",150471020,"83",265180930,2566846,2114363,369150956,3932956380,3031114430,"225","486.952",1.215,180,19469488,"188",40418532,"27.555",6049784,6447136,NA,"0"
"Strangers","Strangers","Kenya Grace",2023-01-09,"USWB12305048","34","233.5",750154960,"139.14099999999999",103879363,"79",118208096,1495758,1031447,196985853,2231749390,1745168821,"163","378.11399999999998",856,113,16295286,"112",20228317,"5.3310000000000004",10938075,7477917,NA,"0"
"Too Sweet","Unreal Unearth: Unheard","Hozier",NA,"USSM12401865","35","231.6",532012790,"23.556999999999999",67488850,NA,62123098,923.733,NA,NA,NA,384716227,"221","151.99",64,42,658.517,"47",31032977,"23.004999999999999",1516649,0,NA,"0"
