"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"Sign of the Times","Sign of the Times","Harry Styles",2017-07-04,"USSM11703595","743","56.2",1532653504,"191.81700000000001",85380382,"76",1799935129,15452150,241.402,80177249,500970525,1650960443,"147","42.283999999999999",38,95,2122787,"67",68085051,"78.587999999999994",1343224,18327076,NA,"0"
"METAMORPHOSIS","METAMORPHOSIS","INTERWORLD",NA,"QZS642102633","746","56.2",624007138,"88.566000000000003",48503856,"76",300340121,3913127,386.544,202072663,2052187356,129187266,"17","288",NA,4,105.339,"9",2406709,"5.8230000000000004",34791272,2577920,NA,"1"
"Botella Tras Botella","Botella Tras Botella","Gera MX",NA,"MXUM62100001","747","56.2",647496971,"72.494",22027404,"71",895962908,7617641,354.2,41756321,396552302,20964348,"63","17.408000000000001",144,26,1707077,"63",83951107,"44.36",NA,2239738,NA,"0"
"Me","Myself & I","Me, Myself & I",NA,"10/14/2015","USRC11502210","745",56.2,"1,280,838,046",174.312,"39,798,446",73,807688972,6060762,8981813,72353082,439764052,"402,411,855","106",3.613,0,49,"200.91900000000001",6,"610,892,547",348.211,0,"10,221,814",NA
"Steal The Show - From ""Elemental""","Steal The Show (From ""Elemental"")","Lauv",2023-02-06,"USWD12326770","749","56.1",117717973,"20.157",12372416,"68",198045947,1142920,1101758,32704079,409104776,45005060,"56","3.0190000000000001",NA,2,19.049,"15",1551964,"6.14",358.836,1696007,NA,"0"
"Lut Gaye","Lut Gaye","Jubin Nautiyal",NA,"INS182100281","751","56.1",171856399,"16.696999999999999",3873550,"56",1524735898,11671430,2.736,167.529,2560589,232645756,"7",NA,NA,0,NA,"6",NA,NA,NA,826.805,NA,"0"
"Piel","Piel","Tiago PZK",2024-01-02,"USWL12400226","748","56.1",128833634,"6.8150000000000004",48721232,"79",114263622,572.164,NA,2444806,31395017,886851471,"10","5.3650000000000002",75,23,3206502,"19",100.637,"199",NA,307.811,NA,"1"
"Pasoori","Pasoori","Shae Gill",2022-06-02,"FR10S2289473","750","56.1",346971014,"37.94",6753521,"65",928440031,9495255,627,225.218,2638039,236473638,"17","3.7010000000000001",NA,1,1.097,"7",NA,NA,NA,673.415,NA,"0"
"the boy is mine","eternal sunshine","Ariana Grande",2024-08-03,"USUM72317268","752","56",175336290,"8.3859999999999992",79812251,"80",44458370,1448800,225,397.044,3842071,297433202,"46","4.569",18,18,1000937,"52",1253330,"1.3129999999999999",873.706,209.987,NA,"1"
"When We Were Young (The Logical Song)","When We Were Young (The Logical Song)","David Guetta",2023-10-11,"UKWLG2300117","754","55.9",158952262,"20.712",61778572,"3",31073689,328.486,NA,NA,NA,1644370622,"48","102.033",363,73,3521094,"52",2844763,"121",805.036,1754057,NA,"0"
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Nu King","Jason Derulo",NA,"USAT22400762","755","55.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"9",NA,NA,NA,10744906,NA,"0"
"Lay Low","Lay Low","Tiï¿½ï¿",2023-06-01,"NLZ542202348","756","55.9",406141247,"67.234999999999999",95995595,"70",91367578,707.83,173.461,21756073,588640576,335569922,"93","142.34",498,66,1547811,"3",NA,NA,1772021,3933085,NA,"0"
"Bounce When She Walk","Bounce When She Walk","Ohboyprince",2023-03-02,"QZFZ72321643","753","55.9",18637452,"6.915",751.599,"45",6534668,116.631,4038735,280985573,3179523129,NA,"2","1.2709999999999999",51,0,NA,NA,203.441,"1.633",NA,1081839,NA,"1"
"Apna Bana Le (From ""Bhediya"")","Apna Bana Le (From ""Bhediya"")","Arijit Singh",2022-05-11,"INZ031411736","757","55.8",250599391,"19.757000000000001",12938935,"66",642774625,4620243,NA,NA,NA,2903846,"27","1.266",NA,1,1.097,"10",NA,NA,NA,476.013,NA,"0"
"Hold My Hand","Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")","Lady Gaga",2022-03-05,"USUM72206231","759","55.7",315680664,"50.631999999999998",13985305,"69",317472115,2373170,129.481,23093203,424398738,5867793586,"48","266.18099999999998",421,27,243.087,"42",45731400,"18.757999999999999",NA,5802558,NA,"0"
"Big Energy","Big Energy - Single","Latto",NA,"USRC12102454","758","55.7",324162855,"53.098999999999997",32807694,"61",60970543,695.638,247.053,95081920,994551093,1214970,"66","697.45899999999995",3.758,22,822.207,"42",104995029,"62.460999999999999",NA,5969740,NA,"1"
"Goodbyes (feat. Young Thug)","Goodbyes (Feat. Young Thug)","Post Malone",2019-05-07,"USUM71912330","761","55.6",1263989128,"156.67099999999999",25905453,"72",795828166,8115938,35.383,8434416,78005488,508823655,"128","117.51600000000001",394,166,396.114,"25",230614636,"107.631",18209981,5216769,NA,"1"
"Location","Location","Khalid",NA,"TCACO1662934","760","55.6",1369299352,"169.37",32275029,"71",815137609,5138837,80.456,17516516,77860109,170885369,"188","50.322000000000003",119,63,235.041,"53",471086924,"389.02300000000002",122419042,4283369,NA,"0"
"Italodisco","Italodisco","The Kolors",2023-05-05,"ITQ002300342","762","55.4",142141861,"22.710999999999999",10786942,"67",142319744,819.805,946.028,19085610,403681891,258305365,"37","81.611999999999995",NA,10,3281500,"13",32.117,"172",NA,3570846,NA,"1"
"Perfect Night","Perfect Night","LE SSERAFIM",NA,"USA2P2349660","763","55.4",279667395,"23.582999999999998",16220736,"78",93707680,1139367,316.771,152082704,1178951518,1201238468,"29","4.5960000000000001",79,11,313.525,"28",493.236,"443",984.17,435.036,NA,"0"
"Vida de Rico","Vida de Rico","Camilo",NA,"USSD12000388","767","55.4",568823269,"54.968000000000004",26455856,"64",1094129734,7637000,1913634,77602054,835046287,149145491,"112","45.003",73,24,135.286,"39",21813224,"14.722",NA,1819660,NA,"0"
"Frï¿½ï¿½gil (feat. Grupo Front","Frï¿½ï¿½gil (feat. Grupo Front","Yahritza Y Su Esencia",2023-07-04,"USQX92302369","765","55.4",432988420,"32.293999999999997",28454994,"67",194658217,1261625,633.28,45475847,750998497,9725361,"35","22.768000000000001",31,14,1229279,"25",33073012,"10.83",NA,1407776,NA,"0"
"In My Feelings","Scorpion","Drake",NA,"USCM51800206","766","55.4",1389607643,"179.82",36937605,"68",749282095,9464140,294.022,46457728,521014819,204014215,"144","18.149999999999999",396,65,496.515,"53",344214850,"668.75",NA,7188287,NA,"1"
"You Broke My Heart","For All The Dogs Scary Hours Edition","Drake",2023-06-10,"USUG12309646","764","55.4",123522254,"26.849",21166663,NA,21213402,365.281,2.214,572.15,3432405,1827340338,"25","91.995000000000005",20,6,159.003,"33",11677247,"5.3380000000000001",5254476,814.161,NA,"1"
"Attention","Attention","Charlie Puth",NA,"USAT21700928","768","55.3",1800254516,"162.68199999999999",40159047,"75",1875529996,14529538,391.214,96491219,759021013,1775438219,NA,"22.199000000000002",160,135,792.329,"40",352441778,"196.85300000000001",NA,0,NA,"0"
"Zhurek","Zhurek","Adam",2023-06-10,"DGA0M2333309","770","55.3",8893883,"1.7450000000000001",385.351,NA,238585397,1478754,59.1,107.018,1640900,628241049,"8","4.5789999999999997",NA,0,NA,NA,NA,NA,NA,3415610,NA,"0"
"Let Me Down Slowly","Let Me Down Slowly","Alec Benjamin",NA,"USAT21802284","769","55.3",1709991997,"187.053",79925766,"80",1447964376,19917766,2026064,188810282,2833687729,1915732260,"1","1.5629999999999999",132,41,460.093,"10",NA,NA,NA,0,NA,"0"
"In The End","In the End","Tommee Profitt",2018-06-04,"TCADO1871408","771","55.2",85068645,"23.747",2345029,"52",1615682416,16097448,7610004,421716078,6274917849,104330417,"11","96",6,3,28.699,NA,850.756,"1.833",NA,8985174,NA,"0"
"Took Her To The O","Took Her To The O","King Von",NA,"USUYG1296663","772","55.1",497832707,"156.66900000000001",13464335,"74",265905159,2363958,171.287,89782204,644816718,7516419,"30","939",NA,2,4.396,"10",33625448,"44.231000000000002",86394034,1146823,NA,"1"
"Boyfriend","Boyfriend","Dove Cameron",2022-11-02,"USQX92200693","774","55.1",637836235,"96.878",50739981,"68",182917309,3547237,488.047,311431134,1955825500,3121389798,"54","241.48699999999999",2.099,38,346.695,"35",54288683,"24.559000000000001",NA,2178227,NA,"1"
"Orquestra Maldita","Orquestra Maldita","TRASHXRL",NA,"SGW502301764","773","55.1",119445482,"16.844000000000001",15941203,"14",52878314,712.327,2337660,235664103,3177714575,NA,"1",NA,NA,0,NA,NA,NA,NA,NA,0,NA,"1"
"Sucker","Sucker","Jonas Brothers",2019-01-03,"USUG11900515","775","55",1411856834,"128.28",42394972,"73",641158161,9661491,328.479,33317769,280853608,487784808,"214","499.13",814,176,671.754,"90",281820508,"190.779",NA,6948452,NA,"0"
"Alone","Alone","Marshmello",NA,"CA6D21600147","776","55",561103984,"80.971000000000004",18764148,"65",3130843590,32799797,524.156,50668664,462245126,454361203,"48","3.7440000000000002",2,16,66.45,"17",43619580,"201.447",NA,3223632,NA,"0"
"Moto","Moto - Single","Diler Kharkiya",2020-06-01,"INR731900731","778","54.9",NA,"424",60.155,NA,706716815,3418527,1e+07,79580452,1357260180,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Pareja Del Aï¿½","Pareja Del Aï¿½","Sebastian Yatra",NA,"USUM72104664","779","54.9",817933263,"104.636",31495621,"70",658407296,4541248,877.7,82923244,870762842,136526601,"105","51.363",244,36,1953756,"46",41931285,"7.6379999999999999",NA,2894166,NA,"0"
"PAINTING PICTURES","5LBS OF PRESSURE","Superstar Pride",NA,"QZNMX2257577","777","54.9",193109326,"76.046999999999997",4765141,"8",64413388,1143541,238.183,174951046,1526856459,210031126,"17","40.11",2.704,4,479.325,"1",7692981,"6.306",23495613,2304354,NA,"1"
"GOOBA","GOOBA","6ix9ine",2020-08-05,"QZA742002191","780","54.8",472027271,"97.766000000000005",8876147,"2",1012949756,14257151,2295814,448572991,4846286370,155050116,"22","120",57,10,24.148,"3",11693239,"76.975999999999999",NA,2224515,NA,"1"
"vampire","vampire","Olivia Rodrigo",NA,"USUG12305004","781","54.8",997536616,"5.2679999999999998",1949130,"1",NA,NA,NA,NA,NA,NA,"48","301.02800000000002",NA,2,18.375,"2",NA,NA,NA,0,NA,"0"
"THE DINER","HIT ME HARD AND SOFT","Billie Eilish",NA,"USUM72401989","790","54.7",66101468,"3.6930000000000001",9878576,"84",4252419,117.031,180,1800000,11200000,934.654,"45","195",16,5,56.919,"9",184.455,"248",685.021,52.008,NA,"0"
"6 In the Morning (feat. Nate Dogg)","6 In the Morning (feat. Nate Dogg) - Single","Flex (UK)",NA,"GBARL2400669","785","54.7",4505404,"1.248",19427406,"64",NA,NA,NA,NA,NA,NA,"2","25",NA,2,34.694,"31",NA,NA,3150291,24.801,NA,"1"
"Light Switch","Light Switch (Instrumental)","Charlie Puth",NA,"USAT22107359","782","54.7",593554969,"84.287999999999997",17284885,"67",284499511,3909648,506.518,475880505,4729678365,3277338062,"98","201.93600000000001",866,30,685.471,"48",55256200,"10.657",2916780,2231820,NA,"0"
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]","Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]","Mika Singh",2024-01-05,"INS182401375","783","54.7",1852457,"79",3399376,NA,57254911,1254450,NA,NA,NA,NA,NA,"91",NA,0,NA,"11",NA,NA,NA,4.169,NA,"0"
"On Me","On Me","Lil Baby",2020-04-12,"USUG12004399","788","54.7",368017246,"105.732",15129396,"67",227182263,1554044,163.221,22024839,198936453,37367982,"57","178.63399999999999",372,9,32.4,"6",141610948,"45.140999999999998",53891709,1728476,NA,"1"
"when the party's over","when the party's over","Billie Eilish",NA,"USUM71815958","787","54.7",1845938685,"186.63300000000001",79124996,"79",931398498,13775924,1622629,210787744,1349258289,750592461,"163","24.690999999999999",55,62,398.168,"32",139323553,"150.239",NA,5811377,NA,"0"
"Love The Way You Lie","538 Hitzone 55","Eminem",2010-01-01,"USUM71015397","784","54.7",1532052160,"236.94300000000001",76167038,"79",3009144927,15864764,208.118,23435916,223136013,254272987,"84","4.4370000000000003",NA,67,669.362,"49",800108842,"1,358,251",1991336,10011625,NA,"1"
"Party","Un Verano Sin Ti","Bad Bunny",2022-06-05,"QM6MZ2214885","789","54.7",725076772,"83.311000000000007",29009374,"72",296661885,2150658,705.8,287983296,3014389754,22621115,"51","39.01",150,15,1934966,"19",64496554,"17.065000000000001",NA,1467014,NA,"0"
"Make You Mine","Make You Mine","Madison Beer",2024-09-02,"USSM12400758","786","54.7",127909006,"13.353999999999999",49984859,NA,26653465,788.713,NA,12674158,295301300,191049109,"78","31.923999999999999",7,84,9231885,"42",4474757,"1.113",NA,1031888,NA,"0"
"Freaks","Freaks","Surf Curse",NA,"USAT22102269","791","54.6",1089328286,"200.01599999999999",33498182,"77",256738121,4601685,511,265.535,2110692,4098036,"25","10.305",453,11,10.105,"25",15296063,"15.811999999999999",NA,4341439,NA,"0"
"In Da Getto","In Da Getto","J Balvin",2021-02-07,"QZM5U2100095","792","54.6",484375103,"133.279",27602101,"61",218975838,3159820,1920220,452069335,6219918723,90132395,"131","69.510999999999996",795,43,354.884,"58",43024314,"14.6",NA,7336982,NA,"0"
"Chale","Chale - Single","Eden Muï¿½ï",NA,"MXB952200017","794","54.5",414104069,"33.043999999999997",18247093,"67",665626745,2889082,968.864,248485504,2953043191,28563266,"18","17.222000000000001",361,4,196.022,"43",40508092,"7.944",2525726,0,NA,"0"
"Try That In A Small Town","Try That In A Small Town","Jason Aldean",NA,"QMRSZ2300454","793","54.5",66418201,"20.547000000000001",1758957,"37",59550101,1432480,NA,NA,NA,803299613,"5","174.81100000000001",46,1,79.46,"2",106455054,"62.006999999999998",1370492,264.899,NA,"1"
"Tarot","Un Verano Sin Ti","Bad Bunny",2022-06-05,"QM6MZ2214881","796","54.3",742515730,"93.128",28604664,"73",275203830,1499544,940.02,241093278,2486183983,22246842,"39","10.090999999999999",NA,4,178.868,"7",36599355,"3.1469999999999998",NA,959.597,NA,"1"
"Mas Existe um Lugar","Mas Existe um Lugar - Single","Kaio Viana",NA,"SGB502340678","795","54.3",24963236,"5.6239999999999997",1097527,"48",96957064,1319260,3177849,39336848,670846125,6083511,"2",NA,NA,0,NA,"1",NA,NA,NA,228.158,NA,"1"
"TEXAS HOLD 'EM","TEXAS HOLD 'EM","Beyoncï¿",2024-09-02,"USSM12401303","798","54.3",425058273,"2.5630000000000002",11967164,NA,46791219,643.498,NA,NA,NA,987644203,"63",NA,NA,3,35.655,NA,13815433,"36.200000000000003",NA,0,NA,"0"
"Petit gï¿½ï¿","Petit gï¿½ï¿","Jungeli",2023-04-08,"QMBZ92393247","797","54.3",159181956,"29.010999999999999",10943796,"74",159092284,820.029,12.1,2709265,37717213,201180033,"38","29.97",NA,46,20176323,"46",NA,NA,NA,3454084,NA,"1"
"Bura Na Mano Holi Hai","Bura Na Mano Holi Hai","Shaan",2023-04-02,"ING642301070","801","54.2",125.047,"6",44.905,"14",659724253,4199987,NA,NA,NA,4618100,NA,"2",NA,0,NA,NA,NA,NA,NA,262,NA,"0"
"ýýý","Show - Single","Ado",2023-06-09,"JPPO02302806","800","54.2",114381380,"15.725",4390255,"67",230252306,1606934,286.3,41518862,613717046,548853137,"33","507",NA,1,1.802,"7",NA,NA,NA,270.4,NA,"0"
"Breaking the Habit","Papercuts","Linkin Park",2024-12-04,"USWB12401898","802","54.2",428629823,"2",454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1649113,NA,"0"
"Work","ANTI (Deluxe)","Rihanna",NA,"QM5FT1600116","799","54.2",1399521364,"144.82300000000001",46076265,"73",1662063771,10770107,3.515,6820574,36448419,244639723,"432","3.4180000000000001",104,135,1255495,"77",603707599,"736.55100000000004",NA,8814930,NA,"1"
"Normal","Normal","Feid",2022-08-07,"USUM72211935","804","54.1",724772954,"76.820999999999998",31039211,"76",395704504,1556356,86.775,25803660,237386912,472550280,"59","28.567",239,22,4507712,"32",9638456,"2.516",NA,956.99,NA,"1"
"LALALALA","ROCK-STAR","Stray Kids",2023-10-11,"US5TA2300151","803","54.1",154592041,"10.814",10289612,NA,161998287,2825345,184.2,94512843,430312931,770557253,"7","3.47",11,6,249.201,"38",1737006,"2.335",952.946,279.165,NA,"0"
"Sum 2 Prove","Sum 2 Prove","Lil Baby",2020-10-01,"USUG11902886","807","54",444934033,"141.08799999999999",17349295,"66",411628542,2868681,191.154,26909802,238372502,7285479,"63","65.317999999999998",37,14,145.275,"6",124269386,"38.557000000000002",68048035,1925871,NA,"1"
"Lottery (Renegade)","Lottery","K CAMP",2019-01-04,"USUYG1247701","808","54",173526912,"28.271999999999998",6607554,"46",102774513,1300907,13802112,663362447,6653535769,40.852,"20","120",46,12,39.746,"2",41431663,"171.614",NA,1592457,NA,"1"
"Meant to Be (feat. Florida Georgia Line)","All Your Fault: Pt. 2","Bebe Rexha",2017-11-08,"USWB11701181","805","54",1382191196,"119.96899999999999",51471665,"66",1318325154,6888667,624.291,24379364,260253261,1408688467,"5","201.43700000000001",652,39,220.305,"64",611963837,"298.34100000000001",NA,0,NA,"0"
"Good Days","Good Days","SZA",NA,"USRC12004189","806","54",1105805922,"164.541",62561721,"77",295872840,2947859,534.634,157378144,920329965,42909616,"231","62.353999999999999",266,52,281.696,"54",71061814,"56.012",8937770,2548829,NA,"1"
"Leave Before You Love Me (with Jonas Brothers)","Summer 2021","Marshmello",NA,"USUG12102313","810","53.9",844630935,"94.185000000000002",54080564,"74",269892715,2020373,71.293,17326017,182430905,993825483,"147","380.24900000000002",940,21,620.249,"27",139703215,"15.853",NA,7138195,NA,"0"
"Youngblood","Youngblood","5 Seconds of Summer",2018-12-04,"GBUM71800366","811","53.9",1790579305,"180.06899999999999",75602805,"76",792369989,7627895,226.361,15100678,81167209,225749952,"148","298.54000000000002",164,33,444.155,"64",394705510,"159.09100000000001",NA,10854729,NA,"0"
"Sweater Weather","I'm Sorry...","The Neighbourhood",2012-01-01,"USSM11300080","809","53.9",2916412507,"415.65",149359220,"85",1648485745,18338729,1248637,324536571,2911383718,71486828,"189","61.334000000000003",39,114,604.895,"9",384534750,"719.47199999999998",2565635,0,NA,"0"
"Merayu Tuhan","Merayu Tuhan","Tri Suaka",NA,"QZYFZ2347514","813","53.8",8517888,"506",74.157,"43",71408616,296.903,2200000,17612619,540360680,45212529,NA,"264",NA,0,NA,NA,NA,NA,NA,20.886,NA,"0"
"If We Being Rï¿½ï","2093","Yeat",NA,"USUM72401643","812","53.8",92517121,"10.195",13681051,"80",4695846,79.415,NA,NA,NA,NA,"19","584",NA,10,1802148,"3",167.577,"1.0609999999999999",5704007,1371705,NA,"1"
"Can We Kiss Forever?","Can We Kiss Forever?","Kina",NA,"USSM11914456","815","53.7",634493511,"89.558999999999997",32092279,"66",325005278,4709406,11714753,557393131,6459413096,12749911,"48","101",43,36,344.77,NA,34039218,"29.303999999999998",NA,8659169,NA,"0"
"Felices los 4","Felices los 4","Maluma",NA,"USSD11700134","814","53.7",932817713,"73.486999999999995",24333265,"68",2349558424,9318868,206.344,18309676,177718441,341943201,"100","19.135000000000002",122,53,1133769,"62",251569141,"201.06100000000001",NA,5644479,NA,"0"
"Mariposita","Mariposita","La Vaca Lola",2021-04-03,"QZDA62161038","820","53.6",NA,NA,NA,NA,1562650492,3425982,7,26,747,NA,NA,"21",NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Relaciï¿½","Relaciï¿½","Sech",2020-02-04,"QM9WM2000013","821","53.6",468900803,"62.75",12074538,"60",1137550621,7566148,2205109,110809435,1052766873,125135301,"29","6.6539999999999999",31,16,175.086,"2",117125054,"20.213999999999999",NA,1507000,NA,"0"
"ELOVRGA","Elovrga - Single","Alex Favela",NA,"QZNFJ2303104","819","53.6",333899135,"24.861999999999998",20963358,"75",180084509,900.128,152.867,82946328,704890346,246991766,"14","2.919",NA,11,1680860,"4",1736093,"1.4470000000000001",168.994,967.858,NA,"1"
"Party Girl","Party Girl","StaySolidRocky",NA,"USSM12002247","816","53.6",730440576,"115.574",16306099,"67",199161217,2037639,6782670,391923611,3194124847,23072079,"62","16.774000000000001",90,15,43.249,"10",8510801,"72.5",NA,1963555,NA,"0"
"I Feel It Coming","I Feel It Coming","The Weeknd",NA,"USUG11601012","817","53.6",1749088490,"193.56800000000001",52373071,"72",1489647996,7616181,NA,2.43,36.437,287132059,"298","130.55099999999999",212,123,980.454,"46",230834970,"108.40600000000001",7851939,17963628,NA,"0"
"Get In With Me","Get In With Me - Single","Bossman Dlow",NA,"USQX92400087","818","53.6",39401314,"7.4420000000000002",18628678,NA,45484183,363.079,NA,7309300,46178900,305726555,"31","68.432000000000002",2.757,6,905.095,"34",10802316,"10.738",NA,607.813,NA,"1"
"Agua (with J Balvin)","Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]","Tainy",2020-09-07,"USUM72013642","822","53.5",391856304,"68.311000000000007",11888692,"58",1040938222,8443453,2490398,109826716,1423789944,329599890,"73","23.515999999999998",309,17,58.326,"36",9507064,"15.164",510.422,1570803,NA,"0"
"Human","Human","Rag'n'Bone Man",NA,"GBARL1600665","824","53.4",1013083048,"170.36699999999999",49113191,"74",1900272147,12302869,265.475,90999656,1070508080,186882524,"197","145.28800000000001",138,92,885.612,"43",163719567,"94.64",NA,19092054,NA,"0"
"We Still Don't Trust You","WE STILL DON'T TRUST YOU","Future",2024-12-04,"USSM12403111","823","53.4",64193671,"9.077",15569468,NA,10688644,234.397,NA,NA,NA,65527813,"31","2.5230000000000001",NA,28,1345845,NA,695.51,"733",992.266,349.821,NA,"1"
"snowfall","Snowfall - Single","ýýneheart",NA,"QM3DF2191341","828","53.3",652949750,"72.343999999999994",19014919,"79",46232838,980.365,3889444,1232791337,10888392002,NA,"12","81",NA,2,58.283,NA,764.755,"1.548",NA,1852974,NA,"0"
"First Love","First Love - Single","Oscar Maydon",2023-07-12,"QZJJE2390614","825","53.3",230291754,"11.519",61076412,"78",113183874,658.962,NA,NA,NA,2342845627,"8","2.0910000000000002",NA,19,7394544,"12",15400444,"5.3390000000000004",NA,1277194,NA,"0"
"La_Original.mp3","La_Original.mp3","Emilia",2023-02-11,"USSD12300584","829","53.3",184441175,"17.844999999999999",26300966,"73",109532952,635.058,193.1,40676589,529217516,483390087,"55","34.835999999999999",1.32,52,631.203,"32",39.845,"57",NA,400.818,NA,"0"
"OA","OA","Anuel AA",NA,"QZ7B82300076","827","53.3",178950943,"29.895",35946086,"80",113884335,541.097,NA,NA,NA,687327384,"23","10.388",NA,16,1284111,NA,1197289,"312",1211226,595.427,NA,"1"
"Pagodï¿½ï¿½o do Birimbola (Tchubirabi","Pagodï¿½ï¿½o do Birimbola (Tchubirabi","Os Quebradeiras",2022-11-11,"BCO3K2200121","830","53.3",54513960,"13.089",4241209,"52",183.119,2.667,4650900,503245598,6429494637,NA,"2","17",NA,17,10.926,"5",NA,NA,NA,448.872,NA,"0"
"Ice Cream (with Selena Gomez)","Ice Cream (with Selena Gomez)","BLACKPINK",NA,"KRA402000131","826","53.3",574505748,"47.463000000000001",17801611,"58",1037344011,21343581,2161485,204760050,1928057718,2185956346,"87","50.575000000000003",NA,33,197.629,"45",17035475,"44.722000000000001",NA,1430212,NA,"0"
"Deja Vu","minisode 3: TOMORROW","TOMORROW X TOGETHER",2024-01-04,"USA2P2408081","832","53.2",75894056,"2.524",11857367,"84",70842688,1388774,NA,14529171,59546295,48470843,"9","290",52,5,295.059,"21",348.004,"177",NA,113.02,NA,"0"
"one of wun","One of Wun","Gunna",2024-10-05,"USAT22403437","831","53.2",58469975,"7.0730000000000004",108431155,"82",4436805,59.189,NA,NA,NA,381.728,NA,NA,41,0,NA,NA,NA,NA,NA,0,NA,"1"
"Thank You (Not So Bad)","Thank You (Not So Bad)","Dimitri Vegas & Like Mike",2023-01-12,"GBARL2301712","838","53.1",200151839,"32.776000000000003",133835796,"82",11597448,140.956,NA,NA,NA,NA,"55","26.872",NA,99,10753176,"39",1710983,"370",NA,1371435,NA,"0"
"Watch This - ARIZONATEARS Pluggnb Remix","Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix]","Lil Uzi Vert",2023-05-02,"USAT22301358","837","53.1",377174503,"100.095",41254482,"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1314061,"8",196.473,"1.3460000000000001",12340277,0,NA,"1"
"MIDDLE CHILD","MIDDLE CHILD","J. Cole",NA,"QMJMT1902056","836","53.1",1285518117,"221.749",47461150,"74",606135388,5429579,24.013,9483657,72297780,42301836,"119","73.534000000000006",92,33,200.166,"35",377326561,"178.35",NA,3638588,NA,"1"
"TO THE MOON","TO THE MOON","JNR CHOI",2021-05-11,"QZNWW2131527","834","53.1",274647899,"96.137",14188085,"60",64640927,776.716,1905324,583572613,7062611890,2031792442,"22","161.374",2.397,16,56.44,"8",139439113,"21.327000000000002",3308660,3786029,NA,"1"
"Fancy Like","Country Stuff","Walker Hayes",2021-04-06,"USQX92101534","835","53.1",328697441,"56.746000000000002",6878594,"66",174775864,1192058,796.309,174360135,2074178281,774476433,"53","289.947",1.089,0,NA,"45",242860151,"274.46499999999997",NA,2520013,NA,"0"
"The Color Violet","Alone At Prom","Tory Lanez",2021-10-12,"QZTGW2100275","833","53.1",806918358,"152.298",19863721,"79",105278538,1053733,40.106,22514603,251896836,3583107,"22","2.4089999999999998",NA,2,22.675,"3",893.116,"8.0359999999999996",16338259,2322363,NA,"0"
"S91","S91","KAROL G",NA,"USUG12305255","840","53",240161044,"22.27",15087485,"64",164645464,1308408,503.9,16972968,257922639,438911868,"40","24.577999999999999",572,19,2172067,"4",19801440,"3.6680000000000001",NA,614.971,NA,"0"
"LALISA","LALISA","LISA",2021-10-09,"KRA402100098","839","53",502655066,"33.286000000000001",15876032,"73",900358198,23155453,909.216,188844723,1612602199,255397268,"19","8.7189999999999994",134,13,16.498,"25",2844171,"4.0380000000000003",NA,1084041,NA,"0"
"Levitating","Future Nostalgia","Dua Lipa",NA,"GBAHT1901299","841","52.9",946842175,"145.601",34376048,"73",39855160,660.222,1493355,552112407,4779580212,52496892,"269","704.41899999999998",NA,73,1232589,"107",85497325,"33.21",NA,3946971,NA,"0"
"RUBICON","Gï¿½ï¿½N","Peso Pluma",NA,"QM7282306229","844","52.9",246224964,"23.436",13507680,"73",147798315,492.303,559.4,20923219,278318607,37990067,"22","1.401",1,1,72,"2",22544059,"10.243",3883201,585.523,NA,"1"
"Gimme Love","Gimme Love","Sia",NA,"USAT22307798","843","52.9",105947434,"11.648",11690122,"6",27707323,325.476,688,463.074,12855128,1157866791,"55","224.00899999999999",172,40,23048308,"21",1319886,"112",NA,1684376,NA,"0"
"Diz Aï¿½ï¿½ Qual ï¿½ï¿½","Diz Aï¿½ï¿½ Qual ï¿½ï¿½","Mc IG",2024-07-03,"BRWMB2400220","842","52.9",71944011,"5.3289999999999997",22615957,"67",89527069,935.574,NA,NA,NA,195273347,NA,"7",NA,32,9834159,"14",NA,NA,NA,0,NA,"1"
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Mitraz",NA,"INS182400204","848","52.8",114992281,"3.6179999999999999",12001774,"75",144797885,1123962,NA,NA,NA,1197864632,"19","555",NA,0,NA,"27",NA,NA,NA,286.797,NA,"0"
